_id,productCode,productBrand,productCapacity,ci,qty,booked,available,status,pusrchaseInvoice,productId,bl,date,warehouse,createdAt,updatedAt,__v
6482e3f099b3f5aff193009f,60044,SUPREME,100 AH,,75,0,75,,,643af3c1215409eb7cae64a9,EPIRKRFGCL232213,2022-12-26T08:27:03.000Z,azal,2023-06-09T08:33:52.307Z,2023-06-09T08:33:52.307Z,0
6482e4ae99b3f5aff19300c1,SMF57412,SUPREME,74 AH,,540,0,540,,,643af271215409eb7cae64a0,SELA77142300,2023-02-22T08:26:32.000Z,our wh 1 (old),2023-06-09T08:37:02.562Z,2023-06-09T08:37:02.562Z,0
6482e4ce99b3f5aff19300c5,MF95D31,MEGAPOWER,90 AH,,288,0,288,,,644d2da6f6ac4351d41d5c28,EPIRKRFGCL232178,2022-12-28T08:27:03.000Z,azal,2023-06-09T08:37:34.981Z,2023-06-09T08:37:34.981Z,0
6482e4ff99b3f5aff19300cc,SMF55559,MEGAPOWER,55 AH,,874,0,874,,,644d2cf8f6ac4351d41d5c17,EPIRKRFGCL232178,2022-12-28T08:27:03.000Z,azal,2023-06-09T08:38:23.259Z,2023-06-09T08:38:23.259Z,0
6482e52399b3f5aff19300d0,SMF 60033,MEGAPOWER,100 AH,,144,0,144,,,644d2e50f6ac4351d41d5c32,EPIRKRFGCL232178,2022-12-28T08:33:52.000Z,azal,2023-06-09T08:38:59.186Z,2023-06-09T08:38:59.186Z,0
6482f61399b3f5aff19300e5,MF160G51R,DTR,150 AH,,120,0,120,,,643bec7a215409eb7cae64fb,KMTCPNC3959847C ,2023-02-08T14:41:12.000Z,azal,2023-06-09T09:51:15.652Z,2023-06-09T09:51:15.652Z,0
6482f64a99b3f5aff19300ed,MF160G51R,DTR,150 AH,,80,0,80,,,643bec7a215409eb7cae64fb,KMTCPNC3991021,2023-05-05T09:51:15.000Z,our wh 1 (old),2023-06-09T09:52:10.268Z,2023-06-09T09:52:10.268Z,0
6482f67a99b3f5aff19300f9,MF21052R,DTR,200 AH,,60,0,60,,,643becd7215409eb7cae64fd,KMTCPNC3959847C ,2023-02-08T14:41:12.000Z,azal,2023-06-09T09:52:58.728Z,2023-06-09T09:52:58.728Z,0
6482f69b99b3f5aff1930101,MF21052R,DTR,200 AH,,30,0,30,,,643becd7215409eb7cae64fd,KMTCPNC3991021,2023-05-05T09:52:59.000Z,our wh 1 (old),2023-06-09T09:53:31.767Z,2023-06-09T09:53:31.767Z,0
6482f6e799b3f5aff193010b,SMFN150L,SUPREME,150 AH,,255,0,255,,,643af41c215409eb7cae64ab,SELA77142300,2023-02-22T09:46:32.000Z,our wh 1 (old),2023-06-09T09:54:47.977Z,2023-06-09T09:54:47.977Z,0
6482f8cd99b3f5aff1930112,SMF32B19L,KINGSLIGHT,32 AH,,222,0,222,,,643ae02c215409eb7cae644f,KMTCPNC3959847D     ,2023-02-08T14:50:24.000Z,azal,2023-06-09T10:02:53.037Z,2023-06-09T10:02:53.037Z,0
6482f8e599b3f5aff193011e,SMF32B19L,KINGSLIGHT,32 AH,,444,0,444,,,643ae02c215409eb7cae644f,KMTCPNC3991021D,2023-05-05T10:02:53.000Z,our wh 1 (old),2023-06-09T10:03:17.564Z,2023-06-09T10:03:17.564Z,0
6482f9e199b3f5aff1930128,SMF50B24LS,KINGSLIGHT,40 AH,,168,0,168,,,643ae155215409eb7cae6457,KMTCPNC3959847D ,2023-02-08T15:03:27.000Z,azal,2023-06-09T10:07:29.823Z,2023-06-09T10:07:29.823Z,0
6482f9fd99b3f5aff193012e,SMF55559,KINGSLIGHT,55 AH,,660,0,660,,,643ae5b3215409eb7cae645f,KMTCPNC3959847D ,2023-02-08T15:11:47.000Z,azal,2023-06-09T10:07:57.765Z,2023-06-09T10:07:57.765Z,0
6482fa1a99b3f5aff1930134,SMF56638,KINGSLIGHT,66 AH,,216,0,216,,,643ae67d215409eb7cae6463,KMTCPNC3959847D ,2023-02-09T06:43:49.000Z,azal,2023-06-09T10:08:26.038Z,2023-06-09T10:15:34.263Z,0
