_id,category,country,company,brand,code,capacity,palatSize,price,image[0],description,netWeight,grossWeight,__v,stock,LocalPrice,freezonePrice,updatedAt,booked,coming,lastUpdateBy,createdAt,bl[0]._id,bl[1]._id,bl[2]._id,bl[3]._id,bl[4]._id,bl[5]._id,bl[6]._id,bl[7]._id,bl[8]._id,bl[9]._id,bl[0].code,bl[1].code,bl[2].code,bl[3].code,bl[4].code,bl[5].code,bl[6].code,bl[7].code,bl[8].code,bl[9].code,bl[0].qty,bl[1].qty,bl[2].qty,bl[3].qty,bl[4].qty,bl[5].qty,bl[6].qty,bl[7].qty,bl[8].qty,bl[9].qty,bl[0].date,bl[1].date,bl[2].date,bl[3].date,bl[4].date,bl[5].date,bl[6].date,bl[7].date,bl[8].date,bl[9].date,bl[0].warehouse,bl[1].warehouse,bl[2].warehouse,bl[3].warehouse,bl[4].warehouse,bl[5].warehouse,bl[6].warehouse,bl[7].warehouse,bl[8].warehouse,bl[9].warehouse,bl[0].status,bl[1].status,bl[2].status,bl[3].status,bl[4].status,bl[5].status,bl[6].status,bl[7].status,bl[8].status,bl[9].status,bl[0].booked,bl[1].booked,bl[2].booked,bl[3].booked,bl[4].booked,bl[5].booked,bl[6].booked,bl[7].booked,bl[8].booked,bl[9].booked
64199b75246d770f4e65bdea,Inverter,China,SunRay,AGS,OFF GRID MPS-VIII48 6200V DC,6.2 KW,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682755552/oleiffc9mmxp5kxq5q73.png,,11,12,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-21T11:56:37.434Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641bf7674d1ef63239f7d610,Inverter,China,Must Power,INVERTER MUST,PV18-1012 VPM,1 KW,,125,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701638/rkrwv1tkso6mcybmhhye.png,,5,5.4,0,19,152,132,2023-05-31T13:47:13.926Z,0,0,,2023-03-23T06:53:27.110Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641bf9554d1ef63239f7d618,Battery,China,Must Power,INVERTER MUST, PV18-3024 VPM,3 KW,,185,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701655/uqnihpvgnp951cqihc3h.png,,7.8,8.3,0,0,220,190,2023-05-31T13:47:36.481Z,0,0,,2023-03-23T07:01:41.478Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641bf9aa4d1ef63239f7d61c,Inverter,China,Must Power,INVERTER MUST, PV18-3024 PRO,3 KW,0,275,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701694/bdwnl6hkxl7deiecvyde.png,,10.7,11.2,0,0,335,290,2023-05-31T13:47:58.266Z,0,0,,2023-03-23T07:03:06.494Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641bf9f54d1ef63239f7d61e,Inverter,China,Must Power,INVERTER MUST, PV18-5248 PRO,5.2 KW,0,350,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701706/x0ucr2aogrhdrjtixprv.png,,13,13.5,0,215,430,365,2023-05-31T13:48:21.616Z,0,0,,2023-03-23T07:04:21.779Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641bffc74d1ef63239f7d641,Inverter,China,Growatt,Growatt,OFF-GRID SPF 5000ES,5 KW,,435,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701718/bz8e3clkyjrhosw9f0ey.png,,14,15,0,1093,552,435,2023-05-31T13:48:46.611Z,0,0,,2023-03-23T07:29:11.235Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c000d4d1ef63239f7d643,Inverter,China,Growatt,Growatt,OFF-GRID PF 8KT HVM,8 KW,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701731/qljdvyxn3hyh5rlsub3c.png,,65,87,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T07:30:21.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c072e4d1ef63239f7d650,Inverter,China,Growatt,Growatt,OFF-GRID SPF 10KT HVM,10 KW,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701742/sqjia2k9uaca2uyuj1bw.png,,0,0,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:00:46.782Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c0c2c4d1ef63239f7d65a,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,ZELIO EXP 900VA/12V,900 W,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682701772/vj9ximeoknmcpvimk5mt.png,,10,11,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:22:04.758Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c0e214d1ef63239f7d669,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,OPTIMUS 1100VA/12V,1100 W,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682757483/itl5qehnbngpx2vh27xp.png,,13,14,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-23T08:30:25.701Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
