_id,SN
6480a4fa0555e1a76a07024e,96322304105205
6480a4fa0555e1a76a0701f6,96322304103999
6480a4fa0555e1a76a07021d,96322304103939
6480a4fa0555e1a76a0702b6,96322304105325
6480a4fa0555e1a76a0703a7,96322304105416
6480a4fa0555e1a76a070302,96322304105401
6480a4fa0555e1a76a07026d,96322304105229
6480a4fa0555e1a76a070303,96322304105402
6480a4fa0555e1a76a070278,96322304105266
6480a4fa0555e1a76a0702f6,96322304105389
6480a4fa0555e1a76a070381,96322304105214
6480a4fa0555e1a76a070345,96322304103830
6480a4fa0555e1a76a07034f,96322304103850
6480a4fa0555e1a76a07036f,96322304104067
6480a4fa0555e1a76a070276,96322304105254
6480a4fa0555e1a76a07028c,96322304105286
6480a4fa0555e1a76a070298,96322304105298
6480a4fa0555e1a76a0703b5,96322304105432
6480a4fa0555e1a76a0701fd,96322304104025
6480a4fa0555e1a76a0702c6,96322304105341
6480a4fa0555e1a76a070363,96322304104055
6480a4fa0555e1a76a070283,96322304105277
6480a4fa0555e1a76a0702c0,96322304105335
6480a4fa0555e1a76a070264,96322304105230
6480a4fa0555e1a76a070290,96322304105290
6480a4fa0555e1a76a0702c7,96322304105342
6480a4fa0555e1a76a070310,96322304105415
6480a4fa0555e1a76a0701f2,96322304103994
6480a4fa0555e1a76a0702b1,96322304105320
6480a4fa0555e1a76a07034b,96322304103848
6480a4fa0555e1a76a0702c3,96322304105338
6480a4fa0555e1a76a07026a,96322304105226
6480a4fa0555e1a76a0702d8,96322304105359
6480a4fa0555e1a76a070251,96322304105208
6480a4fa0555e1a76a0703c1,96322304105461
6480a4fa0555e1a76a0702ca,96322304105345
6480a4fa0555e1a76a0702ea,96322304105377
6480a4fa0555e1a76a070258,96322304105218
6480a4fa0555e1a76a070372,96322304104070
6480a4fa0555e1a76a070437,96322304103843
6480a4fa0555e1a76a07051b,96322304105342
6480a4fa0555e1a76a070540,96322304105374
6480a4fa0555e1a76a070455,96322304104108
6480a4fa0555e1a76a070476,96322304104125
6480a4fa0555e1a76a070527,96322304105349
6480a4fa0555e1a76a0704d2,96322304104064
6480a4fa0555e1a76a0704f4,96322304105159
6480a4fa0555e1a76a0704b6,96322304104036
6480a4fa0555e1a76a0703fc,96322304105410
6480a4fa0555e1a76a070435,96322304103841
6480a4fa0555e1a76a070560,96322304105523
6480a4fa0555e1a76a070469,96322304104108
6480a4fa0555e1a76a070534,96322304105362
6480a4fa0555e1a76a0705be,96322304103876
6480a4fa0555e1a76a070407,96322304105483
6480a4fa0555e1a76a0703ef,96322304105397
6480a4fa0555e1a76a07050c,96322304105330
6480a4fa0555e1a76a070506,96322304105310
6480a4fa0555e1a76a0705a2,96322304103856
6480a4fa0555e1a76a0704f7,96322304105162
6480a4fa0555e1a76a0705ab,96322304103865
6480a4fa0555e1a76a070489,96322304103971
6480a4fa0555e1a76a07033c,96322304105435
6480a4fa0555e1a76a0701f7,96322304104000
6480a4fa0555e1a76a0702bb,96322304105330
6480a4fa0555e1a76a07023a,96322304104121
6480a4fa0555e1a76a070343,96322304103828
6480a4fa0555e1a76a070388,96322304105221
6480a4fa0555e1a76a070257,96322304105216
6480a4fa0555e1a76a07034c,96322304103849
6480a4fa0555e1a76a0701ec,96322304103988
6480a4fa0555e1a76a070349,96322304103832
6480a4fa0555e1a76a070280,96322304105274
6480a4fa0555e1a76a0702b5,96322304105324
6480a4fa0555e1a76a070370,96322304104068
6480a4fa0555e1a76a07039d,96322304105412
6480a4fa0555e1a76a0702a7,96322304105313
6480a4fa0555e1a76a070252,96322304105209
6480a4fa0555e1a76a070347,96322304103832
6480a4fa0555e1a76a07029d,96322304105303
6480a4fa0555e1a76a070255,96322304105212
6480a4fa0555e1a76a070282,96322304105276
6480a4fa0555e1a76a070300,96322304105399
6480a4fa0555e1a76a07032f,96322304105446
6480a4fa0555e1a76a070307,96322304105406
6480a4fa0555e1a76a07025f,96322304105225
6480a4fa0555e1a76a07030c,96322304105411
6480a4fa0555e1a76a0702af,96322304105321
6480a4fa0555e1a76a070357,96322304103927
6480a4fa0555e1a76a0702ee,96322304105381
6480a4fa0555e1a76a07037d,96322304104056
6480a4fa0555e1a76a070301,96322304105400
6480a4fa0555e1a76a0702ba,96322304105329
6480a4fa0555e1a76a0704e4,96322304104177
6480a4fa0555e1a76a0702fd,96322304105396
6480a4fa0555e1a76a0703a0,96322304105412
6480a4fa0555e1a76a0704ed,96322304105150
6480a4fa0555e1a76a0704ef,96322304105154
6480a4fa0555e1a76a07024a,96322304105201
6480a4fa0555e1a76a070393,96322304105402
6480a4fa0555e1a76a070579,96322304103832
6480a4fa0555e1a76a070225,96322304103948
6480a4fa0555e1a76a070452,96322304104105
6480a4fa0555e1a76a07024b,96322304105202
6480a4fa0555e1a76a0704c1,96322304104047
6480a4fa0555e1a76a070442,96322304104089
6480a4fa0555e1a76a07027a,96322304105268
6480a4fa0555e1a76a0705b7,96322304103877
6480a4fa0555e1a76a0702c9,96322304105344
6480a4fa0555e1a76a070492,96322304103980
6480a4fa0555e1a76a070376,96322304104074
6480a4fa0555e1a76a0704d0,96322304104062
6480a4fa0555e1a76a070383,96322304105216
6480a4fa0555e1a76a07054b,96322304105385
6480a4fa0555e1a76a07028a,96322304105284
6480a4fa0555e1a76a07059a,96322304103865
6480a4fa0555e1a76a0702f4,96322304105387
6480a4fa0555e1a76a0703f6,96322304105404
6480a4fa0555e1a76a0703b4,96322304105431
6480a4fa0555e1a76a07052b,96322304105353
6480a4fa0555e1a76a070271,96322304105233
6480a4fa0555e1a76a070411,96322304105489
6480a4fa0555e1a76a070254,96322304105211
6480a4fa0555e1a76a07041f,96322304105521
6480a4fa0555e1a76a0702a6,96322304105312
6480a4fa0555e1a76a0704cd,96322304104059
6480a4fa0555e1a76a0702e1,96322304105368
6480a4fa0555e1a76a070500,96322304105274
6480a4fa0555e1a76a070394,96322304105403
6480a4fa0555e1a76a0705c5,96322304103883
6480a4fa0555e1a76a07020a,96322304104147
6480a4fa0555e1a76a07047c,96322304104127
6480a4fa0555e1a76a070234,96322304103963
6480a4fa0555e1a76a0705a7,96322304103861
6480a4fa0555e1a76a07028f,96322304105289
6480a4fa0555e1a76a0704b9,96322304104039
6480a4fa0555e1a76a07029e,96322304105304
6480a4fa0555e1a76a070575,96322304103828
